"PopName" "Year" "Sex" "AgeGroup" "Deaths" "Ex"
"245" "Bayern" 2020 "m" 35 397 434613
"246" "Bayern" 2020 "m" 40 522 406900
"247" "Bayern" 2020 "m" 45 851 422158
"248" "Bayern" 2020 "m" 50 1833 534506.5
"249" "Bayern" 2020 "m" 55 3244 528281
"250" "Bayern" 2020 "m" 60 4484 433621.5
"251" "Bayern" 2020 "m" 65 5756 341983.5
"252" "Bayern" 2020 "m" 70 6991 280577
"253" "Bayern" 2020 "m" 75 10169 246570
"254" "Bayern" 2020 "m" 80 14637 208624
"255" "Bayern" 2020 "m" 85 12094 87189
"256" "Bayern" 2020 "m" 90 9336 34807.5
"257" "Bayern" 2021 "f" 0 154 64045.5
"258" "Bayern" 2021 "f" 1 107 1123089
"259" "Bayern" 2021 "f" 20 128 754902
"260" "Bayern" 2021 "f" 30 129 435493.5
"261" "Bayern" 2021 "f" 35 206 420423
"262" "Bayern" 2021 "f" 40 316 410962.5
"263" "Bayern" 2021 "f" 45 500 407064
"264" "Bayern" 2021 "f" 50 1100 507654
"265" "Bayern" 2021 "f" 55 1850 530347.5
"266" "Bayern" 2021 "f" 60 2529 458378.5
"267" "Bayern" 2021 "f" 65 3408 380139
"268" "Bayern" 2021 "f" 70 5053 333136.5
"269" "Bayern" 2021 "f" 75 7019 272324.5
"270" "Bayern" 2021 "f" 80 14267 295841.5
"271" "Bayern" 2021 "f" 85 16103 155998.5
"272" "Bayern" 2021 "f" 90 20957 86378
"273" "Bayern" 2021 "m" 0 196 67261
"274" "Bayern" 2021 "m" 1 176 1185280
"275" "Bayern" 2021 "m" 20 369 828467.5
"276" "Bayern" 2021 "m" 30 271 468107
"277" "Bayern" 2021 "m" 35 423 436651
"278" "Bayern" 2021 "m" 40 550 413918
"279" "Bayern" 2021 "m" 45 915 406809
"280" "Bayern" 2021 "m" 50 1907 515583.5
"281" "Bayern" 2021 "m" 55 3351 534935.5
"282" "Bayern" 2021 "m" 60 4826 449835
