"PopName" "Year" "Sex" "AgeGroup" "Deaths"
"181" "Hamburg" 2018 "m" 35 48
"182" "Hamburg" 2018 "m" 40 61
"183" "Hamburg" 2018 "m" 45 158
"184" "Hamburg" 2018 "m" 50 308
"185" "Hamburg" 2018 "m" 55 468
"186" "Hamburg" 2018 "m" 60 546
"187" "Hamburg" 2018 "m" 65 777
"188" "Hamburg" 2018 "m" 70 991
"189" "Hamburg" 2018 "m" 75 1557
"190" "Hamburg" 2018 "m" 80 1616
"191" "Hamburg" 2018 "m" 85 1198
"192" "Hamburg" 2018 "m" 90 991
"193" "Hamburg" 2019 "f" 0 27
"194" "Hamburg" 2019 "f" 1 18
"195" "Hamburg" 2019 "f" 20 20
"196" "Hamburg" 2019 "f" 30 19
"197" "Hamburg" 2019 "f" 35 40
"198" "Hamburg" 2019 "f" 40 50
"199" "Hamburg" 2019 "f" 45 92
"200" "Hamburg" 2019 "f" 50 189
"201" "Hamburg" 2019 "f" 55 230
"202" "Hamburg" 2019 "f" 60 302
"203" "Hamburg" 2019 "f" 65 423
"204" "Hamburg" 2019 "f" 70 652
"205" "Hamburg" 2019 "f" 75 1053
"206" "Hamburg" 2019 "f" 80 1623
"207" "Hamburg" 2019 "f" 85 1584
"208" "Hamburg" 2019 "f" 90 2542
"209" "Hamburg" 2019 "m" 0 39
"210" "Hamburg" 2019 "m" 1 29
"211" "Hamburg" 2019 "m" 20 49
"212" "Hamburg" 2019 "m" 30 41
"213" "Hamburg" 2019 "m" 35 54
"214" "Hamburg" 2019 "m" 40 87
"215" "Hamburg" 2019 "m" 45 125
"216" "Hamburg" 2019 "m" 50 288
"217" "Hamburg" 2019 "m" 55 393
"218" "Hamburg" 2019 "m" 60 575
"219" "Hamburg" 2019 "m" 65 722
"220" "Hamburg" 2019 "m" 70 935
"221" "Hamburg" 2019 "m" 75 1406
"222" "Hamburg" 2019 "m" 80 1663
"223" "Hamburg" 2019 "m" 85 1190
"224" "Hamburg" 2019 "m" 90 1014
"225" "Hamburg" 2020 "f" 0 39
"226" "Hamburg" 2020 "f" 1 17
"227" "Hamburg" 2020 "f" 20 16
"228" "Hamburg" 2020 "f" 30 22
"229" "Hamburg" 2020 "f" 35 27
"230" "Hamburg" 2020 "f" 40 46
"231" "Hamburg" 2020 "f" 45 62
"232" "Hamburg" 2020 "f" 50 154
"233" "Hamburg" 2020 "f" 55 248
"234" "Hamburg" 2020 "f" 60 338
"235" "Hamburg" 2020 "f" 65 424
"236" "Hamburg" 2020 "f" 70 639
"237" "Hamburg" 2020 "f" 75 1101
"238" "Hamburg" 2020 "f" 80 1732
"239" "Hamburg" 2020 "f" 85 1709
"240" "Hamburg" 2020 "f" 90 2720
"241" "Hamburg" 2020 "m" 0 34
"242" "Hamburg" 2020 "m" 1 16
"243" "Hamburg" 2020 "m" 20 54
"244" "Hamburg" 2020 "m" 30 37
"245" "Hamburg" 2020 "m" 35 45
"246" "Hamburg" 2020 "m" 40 77
"247" "Hamburg" 2020 "m" 45 129
"248" "Hamburg" 2020 "m" 50 268
"249" "Hamburg" 2020 "m" 55 479
"250" "Hamburg" 2020 "m" 60 578
"251" "Hamburg" 2020 "m" 65 698
"252" "Hamburg" 2020 "m" 70 946
"253" "Hamburg" 2020 "m" 75 1407
"254" "Hamburg" 2020 "m" 80 1816
"255" "Hamburg" 2020 "m" 85 1316
"256" "Hamburg" 2020 "m" 90 1114
"257" "Hamburg" 2021 "f" 0 32
"258" "Hamburg" 2021 "f" 1 18
"259" "Hamburg" 2021 "f" 20 24
"260" "Hamburg" 2021 "f" 30 12
"261" "Hamburg" 2021 "f" 35 34
"262" "Hamburg" 2021 "f" 40 52
"263" "Hamburg" 2021 "f" 45 73
"264" "Hamburg" 2021 "f" 50 153
"265" "Hamburg" 2021 "f" 55 248
"266" "Hamburg" 2021 "f" 60 393
"267" "Hamburg" 2021 "f" 65 473
"268" "Hamburg" 2021 "f" 70 697
"269" "Hamburg" 2021 "f" 75 1025
"270" "Hamburg" 2021 "f" 80 1689
"271" "Hamburg" 2021 "f" 85 1902
"272" "Hamburg" 2021 "f" 90 2626
"273" "Hamburg" 2021 "m" 0 35
"274" "Hamburg" 2021 "m" 1 21
"275" "Hamburg" 2021 "m" 20 49
"276" "Hamburg" 2021 "m" 30 44
"277" "Hamburg" 2021 "m" 35 75
"278" "Hamburg" 2021 "m" 40 94
"279" "Hamburg" 2021 "m" 45 128
"280" "Hamburg" 2021 "m" 50 283
"281" "Hamburg" 2021 "m" 55 460
"282" "Hamburg" 2021 "m" 60 659
"283" "Hamburg" 2021 "m" 65 755
"284" "Hamburg" 2021 "m" 70 1028
"285" "Hamburg" 2021 "m" 75 1270
"286" "Hamburg" 2021 "m" 80 1920
"287" "Hamburg" 2021 "m" 85 1454
"288" "Hamburg" 2021 "m" 90 1119
"289" "Hamburg" 2022 "f" 0 25
"290" "Hamburg" 2022 "f" 1 17
"291" "Hamburg" 2022 "f" 20 22
"292" "Hamburg" 2022 "f" 30 17
"293" "Hamburg" 2022 "f" 35 37
"294" "Hamburg" 2022 "f" 40 45
"295" "Hamburg" 2022 "f" 45 79
"296" "Hamburg" 2022 "f" 50 130
"297" "Hamburg" 2022 "f" 55 273
"298" "Hamburg" 2022 "f" 60 350
"299" "Hamburg" 2022 "f" 65 499
"300" "Hamburg" 2022 "f" 70 746
"301" "Hamburg" 2022 "f" 75 1053
"302" "Hamburg" 2022 "f" 80 1852
"303" "Hamburg" 2022 "f" 85 2142
"304" "Hamburg" 2022 "f" 90 2867
"305" "Hamburg" 2022 "m" 0 37
"306" "Hamburg" 2022 "m" 1 32
"307" "Hamburg" 2022 "m" 20 48
"308" "Hamburg" 2022 "m" 30 37
"309" "Hamburg" 2022 "m" 35 60
"310" "Hamburg" 2022 "m" 40 96
"311" "Hamburg" 2022 "m" 45 123
"312" "Hamburg" 2022 "m" 50 270
"313" "Hamburg" 2022 "m" 55 524
"314" "Hamburg" 2022 "m" 60 641
"315" "Hamburg" 2022 "m" 65 805
"316" "Hamburg" 2022 "m" 70 991
"317" "Hamburg" 2022 "m" 75 1291
"318" "Hamburg" 2022 "m" 80 1926
"319" "Hamburg" 2022 "m" 85 1634
"320" "Hamburg" 2022 "m" 90 1208
"321" "Niedersachsen" 2018 "f" 0 132
"322" "Niedersachsen" 2018 "f" 1 82
"323" "Niedersachsen" 2018 "f" 20 98
"324" "Niedersachsen" 2018 "f" 30 106
"325" "Niedersachsen" 2018 "f" 35 121
"326" "Niedersachsen" 2018 "f" 40 219
"327" "Niedersachsen" 2018 "f" 45 444
"328" "Niedersachsen" 2018 "f" 50 858
"329" "Niedersachsen" 2018 "f" 55 1276
"330" "Niedersachsen" 2018 "f" 60 1797
"331" "Niedersachsen" 2018 "f" 65 2508
"332" "Niedersachsen" 2018 "f" 70 2986
"333" "Niedersachsen" 2018 "f" 75 5827
"334" "Niedersachsen" 2018 "f" 80 8422
"335" "Niedersachsen" 2018 "f" 85 9988
"336" "Niedersachsen" 2018 "f" 90 13826
"337" "Niedersachsen" 2018 "m" 0 151
"338" "Niedersachsen" 2018 "m" 1 144
"339" "Niedersachsen" 2018 "m" 20 267
"340" "Niedersachsen" 2018 "m" 30 156
"341" "Niedersachsen" 2018 "m" 35 254
"342" "Niedersachsen" 2018 "m" 40 369
"343" "Niedersachsen" 2018 "m" 45 742
"344" "Niedersachsen" 2018 "m" 50 1487
"345" "Niedersachsen" 2018 "m" 55 2409
"346" "Niedersachsen" 2018 "m" 60 3134
"347" "Niedersachsen" 2018 "m" 65 4207
"348" "Niedersachsen" 2018 "m" 70 4672
"349" "Niedersachsen" 2018 "m" 75 7939
"350" "Niedersachsen" 2018 "m" 80 9071
"351" "Niedersachsen" 2018 "m" 85 7079
"352" "Niedersachsen" 2018 "m" 90 5394
"353" "Niedersachsen" 2019 "f" 0 117
"354" "Niedersachsen" 2019 "f" 1 70
"355" "Niedersachsen" 2019 "f" 20 88
"356" "Niedersachsen" 2019 "f" 30 75
"357" "Niedersachsen" 2019 "f" 35 144
"358" "Niedersachsen" 2019 "f" 40 185
"359" "Niedersachsen" 2019 "f" 45 372
"360" "Niedersachsen" 2019 "f" 50 863
"361" "Niedersachsen" 2019 "f" 55 1284
"362" "Niedersachsen" 2019 "f" 60 1804
"363" "Niedersachsen" 2019 "f" 65 2351
"364" "Niedersachsen" 2019 "f" 70 3054
"365" "Niedersachsen" 2019 "f" 75 5400
"366" "Niedersachsen" 2019 "f" 80 8819
"367" "Niedersachsen" 2019 "f" 85 9406
"368" "Niedersachsen" 2019 "f" 90 13213
"369" "Niedersachsen" 2019 "m" 0 167
"370" "Niedersachsen" 2019 "m" 1 145
"371" "Niedersachsen" 2019 "m" 20 247
"372" "Niedersachsen" 2019 "m" 30 166
"373" "Niedersachsen" 2019 "m" 35 241
"374" "Niedersachsen" 2019 "m" 40 368
"375" "Niedersachsen" 2019 "m" 45 687
"376" "Niedersachsen" 2019 "m" 50 1382
"377" "Niedersachsen" 2019 "m" 55 2345
"378" "Niedersachsen" 2019 "m" 60 3111
"379" "Niedersachsen" 2019 "m" 65 4161
"380" "Niedersachsen" 2019 "m" 70 4594
"381" "Niedersachsen" 2019 "m" 75 7507
"382" "Niedersachsen" 2019 "m" 80 9419
"383" "Niedersachsen" 2019 "m" 85 7029
"384" "Niedersachsen" 2019 "m" 90 5442
"385" "Niedersachsen" 2020 "f" 0 113
"386" "Niedersachsen" 2020 "f" 1 54
"387" "Niedersachsen" 2020 "f" 20 87
"388" "Niedersachsen" 2020 "f" 30 70
"389" "Niedersachsen" 2020 "f" 35 127
"390" "Niedersachsen" 2020 "f" 40 183
"391" "Niedersachsen" 2020 "f" 45 378
"392" "Niedersachsen" 2020 "f" 50 780
"393" "Niedersachsen" 2020 "f" 55 1318
"394" "Niedersachsen" 2020 "f" 60 1778
"395" "Niedersachsen" 2020 "f" 65 2436
"396" "Niedersachsen" 2020 "f" 70 3210
"397" "Niedersachsen" 2020 "f" 75 5141
"398" "Niedersachsen" 2020 "f" 80 9026
"399" "Niedersachsen" 2020 "f" 85 9796
"400" "Niedersachsen" 2020 "f" 90 13661
"401" "Niedersachsen" 2020 "m" 0 144
"402" "Niedersachsen" 2020 "m" 1 122
"403" "Niedersachsen" 2020 "m" 20 234
"404" "Niedersachsen" 2020 "m" 30 181
"405" "Niedersachsen" 2020 "m" 35 267
"406" "Niedersachsen" 2020 "m" 40 387
"407" "Niedersachsen" 2020 "m" 45 693
"408" "Niedersachsen" 2020 "m" 50 1456
