"PopName" "Year" "Sex" "AgeGroup" "Population"
"226" "SchleswigHolstein" 2018 "f" 43 16444
"227" "SchleswigHolstein" 2018 "f" 44 16485
"228" "SchleswigHolstein" 2018 "f" 45 17064
"229" "SchleswigHolstein" 2018 "f" 46 18557
"230" "SchleswigHolstein" 2018 "f" 47 20742
"231" "SchleswigHolstein" 2018 "f" 48 21508
"232" "SchleswigHolstein" 2018 "f" 49 23818
"233" "SchleswigHolstein" 2018 "f" 50 25425
"234" "SchleswigHolstein" 2018 "f" 51 26201
"235" "SchleswigHolstein" 2018 "f" 52 26434
"236" "SchleswigHolstein" 2018 "f" 53 26117
"237" "SchleswigHolstein" 2018 "f" 54 26014
"238" "SchleswigHolstein" 2018 "f" 55 25507
"239" "SchleswigHolstein" 2018 "f" 56 24247
"240" "SchleswigHolstein" 2018 "f" 57 23719
"241" "SchleswigHolstein" 2018 "f" 58 22576
"242" "SchleswigHolstein" 2018 "f" 59 21893
"243" "SchleswigHolstein" 2018 "f" 60 20462
"244" "SchleswigHolstein" 2018 "f" 61 20288
"245" "SchleswigHolstein" 2018 "f" 62 19005
"246" "SchleswigHolstein" 2018 "f" 63 18561
"247" "SchleswigHolstein" 2018 "f" 64 18594
"248" "SchleswigHolstein" 2018 "f" 65 17568
"249" "SchleswigHolstein" 2018 "f" 66 17547
"250" "SchleswigHolstein" 2018 "f" 67 17479
"251" "SchleswigHolstein" 2018 "f" 68 17689
"252" "SchleswigHolstein" 2018 "f" 69 17340
"253" "SchleswigHolstein" 2018 "f" 70 17088
"254" "SchleswigHolstein" 2018 "f" 71 15683
"255" "SchleswigHolstein" 2018 "f" 72 14741
"256" "SchleswigHolstein" 2018 "f" 73 12266
"257" "SchleswigHolstein" 2018 "f" 74 15881
"258" "SchleswigHolstein" 2018 "f" 75 16278
"259" "SchleswigHolstein" 2018 "f" 76 15563
"260" "SchleswigHolstein" 2018 "f" 77 18510
"261" "SchleswigHolstein" 2018 "f" 78 18421
"262" "SchleswigHolstein" 2018 "f" 79 17944
"263" "SchleswigHolstein" 2018 "f" 80 16514
"264" "SchleswigHolstein" 2018 "f" 81 14606
"265" "SchleswigHolstein" 2018 "f" 82 13408
"266" "SchleswigHolstein" 2018 "f" 83 12250
"267" "SchleswigHolstein" 2018 "f" 84 10384
"268" "SchleswigHolstein" 2018 "f" 85 7411
"269" "SchleswigHolstein" 2018 "f" 86 6642
"270" "SchleswigHolstein" 2018 "f" 87 6415
"271" "SchleswigHolstein" 2018 "f" 88 5825
